"age" "gender" "education" "R1" "R2" "R3" "R4" "R5" "R6" "R7" "R8" "R9" "R10" "R11" "R12" "R13" "R14" "R15" "R16" "R17" "R18" "R19" "R20" "R21" "R22" "R23" "R24" "R25" "R26" "R27" "R28" "R29"
"31" 0 1 0 3 3 3 3 3 3 3 4 3 2 3 3 3 3 2 4 2 3 3 3 3 4 4 3 4 4 2 3 2
"32" 0 1 0 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"33" 1 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 2 1 1 1 1 1 2 2 1 1 2 1
"34" 0 1 0 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 2 1 1 4 3 3 1 2 2 1 2 1
"35" 0 1 0 2 2 2 4 5 3 4 2 3 2 3 4 2 3 2 3 2 4 2 3 1 3 3 4 4 4 3 3 4
"36" 1 1 0 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1
"37" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 3 1 1 1 1
"38" 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"39" 0 1 0 1 1 1 2 2 1 3 2 2 2 1 2 1 2 1 3 1 1 1 3 1 2 2 2 3 1 2 1 2
"40" 0 1 1 3 3 3 3 3 3 5 3 3 3 3 4 4 3 4 3 3 3 3 3 3 3 3 3 5 5 3 5 4
"41" 0 1 1 5 4 5 5 3 5 4 5 5 5 5 5 5 5 3 5 5 5 4 5 5 5 5 5 4 5 5 5 5
"42" 0 0 0 1 1 2 2 2 3 2 2 2 2 3 2 1 2 2 2 1 1 1 1 2 2 1 2 3 3 1 1 1
"43" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"44" 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"45" 0 0 1 3 2 3 1 1 2 1 1 2 2 3 3 1 3 3 3 2 3 1 2 1 2 1 3 3 3 1 3 3
"46" 1 0 0 1 1 1 1 2 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 2 1 2 2 3 2 1 1 2
"47" 0 1 0 2 1 2 1 1 1 4 2 1 1 3 1 2 1 1 2 2 3 1 3 1 2 2 3 4 4 3 2 1
"48" 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"49" 0 1 0 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 2 1 1 1 1 3 1 1 1 2 1 1 1 1
"50" 0 1 1 2 2 1 2 1 2 3 2 2 1 4 2 1 3 2 2 1 2 2 3 1 2 2 1 3 2 1 2 2
"51" 0 0 0 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 4 1 1 1 1
"52" 0 1 0 2 2 2 4 4 3 3 3 4 3 3 2 3 4 3 2 2 2 3 2 3 3 3 3 4 4 4 4 3
"53" 0 0 0 2 1 1 2 2 1 1 1 2 1 3 1 3 3 1 2 1 2 1 1 2 2 2 1 3 3 1 2 2
"54" 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1
"55" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1
"56" 0 0 0 2 1 2 3 1 1 3 3 2 2 1 1 2 1 1 2 1 1 2 1 1 2 1 2 3 2 2 2 2
"57" 0 1 1 1 1 2 2 1 1 2 1 2 1 1 2 1 2 2 2 1 3 1 2 1 1 1 2 5 3 2 2 2
"58" 0 1 1 2 1 2 2 1 1 2 2 2 1 3 2 1 3 2 3 1 1 2 1 1 2 1 3 3 3 2 2 2
"59" 0 0 1 2 3 3 5 5 4 3 3 2 3 1 2 2 4 2 2 2 2 3 2 4 2 3 2 4 3 4 3 3
"60" 0 1 1 2 2 2 3 4 2 2 2 4 2 3 3 5 4 1 3 1 2 2 2 3 3 4 3 3 1 3 2 1
"61" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"62" 0 0 0 2 2 2 2 1 2 3 3 1 2 1 3 2 1 2 3 1 2 3 1 1 2 1 2 3 3 2 3 2
"63" 1 0 0 1 1 1 1 1 1 1 1 3 1 3 3 4 3 1 3 1 4 3 1 3 1 3 3 4 3 1 3 2
"64" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"65" 0 1 0 4 3 3 4 3 3 4 2 3 4 3 3 4 3 4 5 3 2 3 4 3 4 3 4 4 5 5 4 4
"66" 0 0 0 1 1 2 2 2 1 3 2 1 1 1 2 2 3 2 1 1 1 2 1 2 2 1 1 1 2 2 2 2
"67" 1 0 0 1 2 1 1 1 1 2 3 1 2 3 2 1 1 3 3 1 1 1 3 1 2 1 2 3 3 3 3 2
"68" 0 1 0 3 4 4 4 1 5 4 2 1 4 4 4 2 3 4 4 3 5 1 2 3 4 4 3 4 3 3 4 2
"69" 0 0 0 2 2 2 4 3 2 2 2 2 2 4 2 1 4 3 4 1 1 2 2 1 3 2 3 4 3 3 4 1
"70" 0 1 1 3 3 3 4 4 4 4 2 3 3 1 3 4 3 2 4 1 1 3 4 1 3 4 4 2 3 4 4 4
"71" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1
"72" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"73" 0 1 0 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 3 1
"74" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 2 1 1 1 1 2 1 2 1 2 1 1
"75" 1 1 0 3 1 1 3 1 1 3 2 2 1 1 1 3 2 1 3 1 3 1 1 1 2 2 3 3 2 3 3 2
"76" 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"77" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"78" 0 0 1 1 2 2 2 1 2 2 1 1 3 2 2 2 1 1 3 1 1 1 1 2 2 2 2 4 3 2 1 1
"79" 0 1 0 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1
"80" 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 3 1 1 1 3 2 1 1 1
"81" 0 1 0 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"82" 0 1 0 1 1 1 1 1 1 2 1 2 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
"83" 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1
"84" 0 1 0 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 2 1 1 1 2 1 1 1 1 2 1 1
"85" 0 1 0 2 2 3 4 3 2 3 3 3 3 4 3 4 3 3 3 2 4 2 4 2 3 3 3 5 3 3 3 3
"86" 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 3 1 1 1 1
"87" 0 1 0 1 1 2 4 3 2 3 3 3 2 2 2 4 4 1 3 1 1 2 3 2 3 1 1 5 2 3 3 3
"88" 0 1 0 1 1 1 2 3 4 3 1 1 2 2 1 4 2 1 3 1 3 1 2 1 3 4 3 5 4 2 2 3
"89" 0 0 0 1 1 1 1 1 1 1 1 1 1 1 3 3 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1
"90" 0 0 0 3 3 2 2 1 5 2 2 3 2 3 4 3 2 3 2 2 2 1 2 3 3 3 1 2 2 3 3 1
"91" 0 0 0 4 3 4 5 3 5 4 4 4 4 2 3 4 4 5 4 4 5 5 4 1 4 4 5 5 5 4 4 3
"92" 0 1 0 2 2 1 2 1 1 2 1 1 1 2 2 1 1 1 2 1 2 1 1 1 1 2 2 2 2 2 3 2
"93" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"94" 0 0 0 1 1 1 1 1 1 3 1 1 1 1 3 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1
"95" 0 0 0 1 1 1 1 1 2 2 2 2 2 1 3 3 4 1 2 1 1 1 1 3 1 2 3 3 1 1 2 2
"96" 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
"97" 0 1 0 1 1 1 3 2 2 3 2 4 2 4 3 4 1 1 4 1 1 1 2 1 3 1 5 3 3 4 3 3
"98" 0 0 0 5 4 5 3 2 2 4 4 2 4 2 4 4 3 4 4 2 4 3 4 3 4 4 4 4 2 4 4 4
"99" 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"100" 0 0 1 1 1 1 2 1 1 3 1 1 2 1 1 2 2 1 3 1 1 1 1 3 2 1 2 3 3 2 2 1
"101" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 1 1 1
"102" 0 0 1 1 1 1 2 1 2 2 1 1 2 1 1 1 2 1 2 1 3 1 1 1 2 2 1 3 3 3 2 1
"103" 0 1 0 4 4 3 3 2 3 4 2 5 2 2 3 3 3 4 4 1 5 3 3 3 3 3 4 3 4 4 3 3
"104" 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"105" 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
"106" 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"107" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 3 1 1 2 3 2 1 1 1
"108" 0 0 0 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1
"109" 0 1 0 3 2 1 1 1 1 3 1 1 1 1 1 1 1 2 3 1 2 1 1 1 1 2 3 3 1 2 3 1
"110" 0 1 0 1 1 2 2 1 1 2 1 1 1 1 1 5 1 1 1 1 1 1 1 3 1 3 1 3 4 1 4 1
"111" 0 0 0 1 1 1 1 2 3 3 1 1 1 1 2 1 1 1 2 1 2 1 1 1 1 3 3 4 1 1 3 1
"112" 1 1 1 1 1 4 3 2 2 2 1 3 1 1 3 2 2 1 1 1 3 2 1 3 4 4 1 5 3 3 3 2
"113" 0 1 0 2 1 1 1 1 1 2 1 1 1 2 1 1 2 1 1 1 4 1 1 1 1 1 1 2 1 1 2 1
"114" 0 0 0 2 2 1 1 1 1 3 2 2 1 1 2 1 1 1 2 1 2 1 1 1 2 2 1 1 2 2 2 2
"115" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"116" 0 1 0 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 4 2 1 1 2
"117" 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
"118" 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"119" 0 0 0 1 1 1 1 1 1 2 2 1 1 1 2 1 2 1 1 1 2 1 1 2 1 1 1 3 2 1 2 2
"120" 0 0 0 1 1 1 1 1 1 2 2 3 1 1 1 2 1 1 1 1 3 1 1 1 1 1 1 3 2 2 3 1
"121" 1 0 0 1 1 1 1 1 2 2 1 1 1 1 2 3 1 1 1 1 2 1 1 1 1 1 2 3 2 1 2 1
"122" 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"123" 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 2 1
"124" 1 1 1 1 1 1 2 1 1 3 1 1 1 2 2 2 1 1 3 1 1 1 1 3 2 2 2 2 2 2 2 1
"125" 0 1 0 2 2 1 3 1 1 3 1 1 1 1 2 1 1 2 2 1 2 2 1 1 3 3 2 3 2 2 3 2
"126" 0 1 0 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
"127" 0 0 0 1 1 1 1 1 1 1 2 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"128" 0 0 0 1 1 1 1 1 3 1 1 2 1 1 2 1 3 1 2 1 2 1 1 2 1 2 1 4 4 2 4 1
"129" 0 0 0 3 3 3 4 2 3 3 1 1 2 1 3 1 3 1 5 2 5 1 2 1 4 1 5 3 4 5 5 1
"130" 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 2 1
"131" 0 1 0 1 1 1 2 1 1 2 1 1 1 3 3 1 1 1 2 1 1 2 1 1 2 3 1 3 1 2 3 1
"132" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1
"133" 0 0 1 3 3 4 3 4 4 4 2 2 3 4 4 4 4 2 3 4 3 3 2 4 4 3 3 4 4 3 4 4
"134" 0 0 0 2 2 2 2 1 1 2 1 1 1 3 2 1 2 2 2 1 2 1 2 2 2 3 2 2 3 2 2 1
"135" 0 0 1 1 2 2 4 4 1 2 3 2 3 2 3 1 4 1 2 1 1 3 1 3 3 3 3 3 3 3 2 3
"136" 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1
"137" 0 1 0 2 1 1 2 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 2 2 1 1 1 2 1 1 1
"138" 0 1 0 4 4 3 2 1 2 2 1 1 1 1 2 1 4 4 2 4 4 2 2 1 3 2 2 3 1 2 1 1
"139" 1 1 1 2 2 2 2 1 1 2 2 1 1 3 2 1 1 2 2 2 1 2 1 1 2 2 2 2 1 2 2 2
"140" 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"141" 0 1 0 3 3 2 5 3 3 4 1 4 2 2 4 4 4 3 5 1 5 2 5 1 3 4 5 5 5 3 4 4
"142" 0 1 1 1 1 1 1 1 1 2 1 2 1 1 2 2 2 1 1 1 2 1 1 1 1 2 2 1 1 2 3 1
"143" 0 1 0 2 1 1 2 1 3 2 1 2 1 1 2 1 3 1 3 1 2 1 3 2 3 3 2 4 2 2 1 1
"144" 0 1 0 1 2 1 1 1 1 1 3 1 1 5 1 1 1 1 1 1 1 1 1 1 1 2 1 3 3 1 4 1
"145" 0 0 0 2 2 3 3 1 2 2 4 2 3 2 5 2 4 2 2 1 3 3 2 4 4 4 2 3 3 3 3 4
"146" 0 0 0 3 2 2 3 3 3 3 2 1 2 3 3 2 2 3 3 1 2 3 3 2 3 4 3 3 3 3 3 2
"147" 0 1 0 3 3 1 1 1 2 3 1 2 1 2 4 1 3 1 4 1 3 1 3 1 1 3 3 4 2 4 4 1
"148" 0 1 0 5 4 4 5 5 2 5 3 5 5 5 3 5 5 4 5 4 3 5 5 4 5 5 5 5 4 5 5 5
"149" 0 1 0 2 2 2 2 2 2 2 1 2 2 2 2 2 3 1 2 1 3 2 3 2 2 2 3 3 3 2 2 2
"150" 1 1 0 1 2 1 2 1 1 3 3 3 2 1 2 1 2 1 2 1 1 2 1 1 3 2 4 3 3 2 4 2
"151" 0 1 0 1 1 1 2 1 1 2 1 2 2 1 2 1 1 2 2 1 2 2 1 3 2 2 2 2 2 2 2 2
"152" 0 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
"153" 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"154" 0 1 1 3 3 4 3 3 5 4 1 1 3 2 1 1 2 2 3 2 3 2 3 2 3 2 2 3 3 3 3 2
"155" 0 1 0 3 1 1 4 1 1 3 1 1 2 1 1 3 1 2 3 1 3 3 3 1 4 1 1 4 3 1 3 1
"156" 0 0 1 1 2 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 3 1 2 1 1
"157" 0 0 0 1 1 1 1 1 1 3 1 3 2 2 2 1 2 1 2 1 4 1 1 1 2 3 3 3 2 2 3 3
"158" 0 1 0 2 2 1 2 1 1 2 1 1 2 2 3 1 2 2 2 2 2 1 1 1 2 3 2 2 2 2 3 1
"159" 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"160" 1 0 0 2 2 2 4 1 2 2 1 3 2 1 2 3 4 1 3 1 2 1 3 4 3 3 2 4 3 2 1 3
"161" 0 1 0 1 2 2 4 3 2 3 3 2 4 2 2 2 4 2 2 1 3 3 2 1 4 4 1 4 3 3 3 4
"162" 1 1 0 1 2 1 1 1 1 3 4 2 1 3 2 1 2 1 2 1 2 1 1 1 2 1 2 3 2 1 1 1
"163" 0 1 0 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 2 1 1
"164" 0 1 0 1 1 1 2 1 1 3 2 2 1 2 3 2 2 1 3 1 4 1 1 1 2 3 2 2 1 3 2 2
"165" 1 1 1 4 4 3 4 3 1 4 1 1 3 3 1 1 3 4 4 3 1 3 4 3 3 2 4 3 3 4 3 3
"166" 0 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 4 3 2 3 1
"167" 0 1 0 1 1 1 1 1 1 1 2 1 1 2 1 1 2 1 3 1 2 1 1 2 3 1 1 2 2 2 3 1
"168" 0 1 0 1 1 1 2 1 1 1 1 2 1 1 2 1 1 1 2 1 2 1 1 1 1 2 1 3 2 2 1 1
"169" 0 1 0 2 2 1 2 1 1 2 1 2 1 1 2 3 2 2 3 2 3 1 1 1 2 1 2 3 2 2 2 1
"170" 0 0 0 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 2 1 1 1 1
"171" 0 1 0 2 1 1 2 1 1 3 1 3 1 2 3 1 1 2 2 1 1 1 2 1 1 2 2 4 3 1 4 3
"172" 0 1 0 4 3 3 3 3 4 4 3 2 3 4 4 4 3 4 4 3 4 2 4 1 3 3 4 5 5 4 1 3
"173" 0 1 0 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1
"174" 0 0 0 4 4 3 5 5 4 5 3 1 5 2 2 4 2 5 4 3 5 3 3 4 4 4 5 5 5 4 5 5
"175" 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"176" 0 1 0 1 1 1 4 3 1 1 1 1 1 2 1 3 2 1 3 1 3 2 2 1 3 3 2 5 3 1 1 1
"177" 1 1 0 3 3 2 3 3 2 3 1 3 3 3 3 2 3 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3
"178" 0 1 0 4 3 4 5 3 3 3 3 4 4 4 3 3 3 4 5 3 5 3 5 1 4 3 4 3 5 5 5 4
"179" 0 1 0 1 1 1 2 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 2 1 1 2 1
"180" 1 0 0 1 1 1 3 1 1 2 1 2 1 2 2 2 1 1 1 1 1 2 1 2 2 2 2 2 2 1 2 1
"181" 1 0 1 1 1 1 1 1 1 1 3 1 1 2 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 2 1
"182" 1 1 0 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
"183" 1 1 0 1 1 1 2 2 2 1 1 1 1 3 2 3 1 1 2 1 3 1 2 2 1 2 2 3 2 2 2 1
"184" 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"185" 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"186" 1 1 0 3 3 2 3 3 2 2 1 2 2 2 3 3 1 3 3 2 3 3 2 1 3 2 3 3 3 3 3 3
"187" 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 2 1 1 1
"188" 0 0 0 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1 1 1
"189" 0 1 0 1 1 1 2 1 1 2 1 1 1 1 3 1 3 1 2 1 2 1 1 1 2 2 1 5 1 2 3 1
"190" 0 0 0 2 2 1 3 1 1 3 1 1 1 2 2 1 2 2 2 1 1 1 1 1 1 3 1 4 3 2 3 1
"191" 0 1 0 1 1 1 2 1 3 2 2 1 2 2 1 3 2 3 2 1 3 1 1 1 3 1 3 3 3 2 2 3
"192" 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
"193" 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"194" 0 1 0 1 1 1 1 1 1 1 5 1 1 1 2 2 3 1 1 1 1 1 1 3 1 1 1 4 1 1 1 1
"195" 0 1 0 1 2 1 2 2 3 1 1 3 2 2 3 2 1 5 2 2 3 1 2 2 2 3 1 1 1 2 2 1
"196" 0 1 0 2 1 1 3 1 1 3 2 1 1 1 1 1 2 1 3 1 2 1 1 1 1 1 2 1 1 3 3 2
"197" 0 0 1 3 2 3 3 4 3 3 3 2 3 2 3 3 2 2 4 2 2 3 3 2 3 3 3 3 4 3 4 3
"198" 0 0 1 2 2 2 3 3 3 2 2 3 2 1 1 1 1 1 1 1 1 1 1 2 3 1 2 1 1 2 2 1
"199" 0 0 0 3 1 1 3 3 2 3 3 1 3 1 1 3 1 3 4 1 1 3 2 4 3 3 3 3 3 3 4 3
"200" 0 1 1 1 1 2 4 3 2 3 3 2 3 4 2 2 4 2 2 1 3 2 2 5 4 2 4 5 4 3 3 4
"201" 0 0 1 1 1 1 1 1 1 3 1 3 1 3 1 1 1 1 1 1 5 1 1 1 1 2 3 2 3 3 3 3
"202" 1 0 1 1 1 1 1 1 2 2 1 1 1 1 2 3 3 1 1 1 1 1 1 1 1 3 2 3 2 1 2 2
